Date,Price,Open,High,Low,Vol.,Change %,Symbol,Nltk_Sentiment,FinBERT_Sentiment,Subjectivity_avg,Polarity_avg,PriceSP500,OpenSP500,HighSP500,LowSP500,Change%SP500
2024-04-17,16260.0,17220.0,17220.0,16160.0,149.20K,-0.97%,FUEVN100,0.8607,1.0,0.5305,0.2322,127770.04461,128959.66577,129188.38036,127389.44725,-0.58%
2024-04-16,21190.0,21720.0,21720.0,21020.0,1.74M,-3.64%,E1VFVN30,0.4939,0.0,0.5,0.0,128512.92180999999,128848.23419,129236.20943999999,128218.31503,-0.21%
2024-04-16,29570.0,27900.0,30000.0,27900.0,5.22M,-1.43%,ETF,0.4939,0.0,0.5,0.0,128512.92180999999,128848.23419,129236.20943999999,128218.31503,-0.21%
2024-04-16,7820.0,7230.0,7820.0,7230.0,0.80K,6.25%,FUEIP100,0.4939,0.0,0.5,0.0,128512.92180999999,128848.23419,129236.20943999999,128218.31503,-0.21%
2024-04-16,14660.0,14690.0,14710.0,14380.0,54.80K,-0.20%,FUEMAV30,0.4939,0.0,0.5,0.0,128512.92180999999,128848.23419,129236.20943999999,128218.31503,-0.21%
2024-04-16,15290.0,15400.0,16050.0,14950.0,61.30K,-2.43%,FUESSV30,0.4939,0.0,0.5,0.0,128512.92180999999,128848.23419,129236.20943999999,128218.31503,-0.21%
2024-04-16,19070.0,19000.0,19200.0,18050.0,16.90K,5.65%,FUESSV50,0.4939,0.0,0.5,0.0,128512.92180999999,128848.23419,129236.20943999999,128218.31503,-0.21%
2024-04-16,19810.0,20270.0,20280.0,19650.0,805.30K,-2.27%,FUESSVFL,0.4939,0.0,0.5,0.0,128512.92180999999,128848.23419,129236.20943999999,128218.31503,-0.21%
2024-04-16,16420.0,16500.0,17500.0,16200.0,377.10K,-0.48%,FUEVN100,0.4939,0.0,0.5,0.0,128512.92180999999,128848.23419,129236.20943999999,128218.31503,-0.21%
2024-04-15,21990.0,22100.0,22170.0,21340.0,391.80K,-0.50%,E1VFVN30,0.1779,0.0,0.375,0.0,128777.76262,131012.75447,131490.02763,128539.88927,-1.20%
2024-04-15,30000.0,30900.0,31060.0,29900.0,777.50K,-3.04%,ETF,0.1779,0.0,0.375,0.0,128777.76262,131012.75447,131490.02763,128539.88927,-1.20%
2024-04-15,7360.0,7800.0,7800.0,7360.0,3.50K,-2.26%,FUEIP100,0.1779,0.0,0.375,0.0,128777.76262,131012.75447,131490.02763,128539.88927,-1.20%
2024-04-15,14690.0,15210.0,15210.0,14690.0,16.40K,-3.36%,FUEMAV30,0.1779,0.0,0.375,0.0,128777.76262,131012.75447,131490.02763,128539.88927,-1.20%
2024-04-15,15670.0,15770.0,15770.0,15200.0,37.10K,-0.63%,FUESSV30,0.1779,0.0,0.375,0.0,128777.76262,131012.75447,131490.02763,128539.88927,-1.20%
2024-04-15,18050.0,19390.0,19390.0,18040.0,30.10K,-4.80%,FUESSV50,0.1779,0.0,0.375,0.0,128777.76262,131012.75447,131490.02763,128539.88927,-1.20%
2024-04-15,20270.0,20990.0,21020.0,20200.0,344.70K,-3.48%,FUESSVFL,0.1779,0.0,0.375,0.0,128777.76262,131012.75447,131490.02763,128539.88927,-1.20%
2024-04-15,16500.0,16380.0,17260.0,16380.0,235.60K,-4.18%,FUEVN100,0.1779,0.0,0.375,0.0,128777.76262,131012.75447,131490.02763,128539.88927,-1.20%
2024-04-12,22100.0,21840.0,22110.0,21800.0,170.80K,1.47%,E1VFVN30,0.25,0.0,0.0,0.0,130344.41939999998,131568.1315,131657.175,129950.08389999998,-1.46%
2024-04-12,30940.0,29020.0,31000.0,29020.0,2.54M,2.08%,ETF,0.25,0.0,0.0,0.0,130344.41939999998,131568.1315,131657.175,129950.08389999998,-1.46%
2024-04-12,7530.0,7460.0,7700.0,7460.0,0.50K,-0.40%,FUEIP100,0.25,0.0,0.0,0.0,130344.41939999998,131568.1315,131657.175,129950.08389999998,-1.46%
2024-04-12,15200.0,14500.0,15200.0,14500.0,31.30K,2.29%,FUEMAV30,0.25,0.0,0.0,0.0,130344.41939999998,131568.1315,131657.175,129950.08389999998,-1.46%
2024-04-12,15770.0,15530.0,15770.0,15530.0,13.20K,1.55%,FUESSV30,0.25,0.0,0.0,0.0,130344.41939999998,131568.1315,131657.175,129950.08389999998,-1.46%
2024-04-12,18960.0,18910.0,19500.0,18900.0,36.20K,0.74%,FUESSV50,0.25,0.0,0.0,0.0,130344.41939999998,131568.1315,131657.175,129950.08389999998,-1.46%
2024-04-12,21000.0,20680.0,21000.0,20550.0,668.60K,1.45%,FUESSVFL,0.25,0.0,0.0,0.0,130344.41939999998,131568.1315,131657.175,129950.08389999998,-1.46%
2024-04-12,17220.0,17100.0,17250.0,16970.0,82.80K,0.76%,FUEVN100,0.25,0.0,0.0,0.0,130344.41939999998,131568.1315,131657.175,129950.08389999998,-1.46%
2024-04-11,21780.0,21840.0,21850.0,21600.0,796.90K,-0.27%,E1VFVN30,0.3612,0.0,0.2667,0.1833,132270.3031,131603.74889999998,132593.4038,130736.2108,0.75%
2024-04-11,30310.0,30300.0,30480.0,30050.0,1.37M,-0.03%,ETF,0.3612,0.0,0.2667,0.1833,132270.3031,131603.74889999998,132593.4038,130736.2108,0.75%
2024-04-11,7560.0,7560.0,7560.0,7560.0,,-0.40%,FUEIP100,0.3612,0.0,0.2667,0.1833,132270.3031,131603.74889999998,132593.4038,130736.2108,0.75%
2024-04-11,14860.0,14980.0,14980.0,14860.0,0.20K,-0.93%,FUEMAV30,0.3612,0.0,0.2667,0.1833,132270.3031,131603.74889999998,132593.4038,130736.2108,0.75%
