"Date","Price","Open","High","Low","Vol.","Change %"
"06/09/2022","15,800.0","15,730.0","15,800.0","15,620.0","15.80K","0.51%"
"06/08/2022","15,720.0","15,550.0","15,720.0","15,520.0","8.40K","1.09%"
"06/07/2022","15,550.0","15,500.0","15,570.0","15,190.0","11.90K","-0.32%"
"06/06/2022","15,600.0","15,650.0","15,650.0","15,500.0","10.00K","-0.32%"
"06/03/2022","15,650.0","15,450.0","15,650.0","15,370.0","5.90K","0.19%"
"06/02/2022","15,620.0","15,600.0","15,620.0","15,400.0","8.30K","-0.76%"
"06/01/2022","15,740.0","15,560.0","15,740.0","15,480.0","28.60K","0.32%"
"05/31/2022","15,690.0","15,000.0","15,690.0","15,000.0","23.10K","-0.63%"
"05/30/2022","15,790.0","16,770.0","16,770.0","15,500.0","35.30K","0.64%"
"05/27/2022","15,690.0","15,420.0","15,690.0","15,310.0","10.00K","1.62%"
"05/26/2022","15,440.0","15,400.0","15,440.0","15,200.0","24.60K","0.26%"
"05/25/2022","15,400.0","14,940.0","15,400.0","14,940.0","17.50K","3.63%"
"05/24/2022","14,860.0","14,610.0","14,860.0","14,500.0","20.00K","1.16%"
"05/23/2022","14,690.0","16,050.0","16,050.0","14,560.0","12.20K","-2.13%"
"05/20/2022","15,010.0","15,130.0","15,170.0","14,820.0","24.70K","-0.79%"
"05/19/2022","15,130.0","14,720.0","15,130.0","14,720.0","22.00K","0.27%"
"05/18/2022","15,090.0","15,110.0","15,190.0","14,930.0","26.40K","1.00%"
"05/17/2022","14,940.0","14,010.0","14,940.0","14,010.0","32.80K","4.92%"
"05/16/2022","14,240.0","14,380.0","14,680.0","14,240.0","56.20K","-0.97%"
"05/13/2022","14,380.0","15,000.0","15,300.0","14,280.0","203.40K","-4.13%"
"05/12/2022","15,000.0","15,610.0","15,620.0","14,910.0","26.70K","-5.84%"
"05/11/2022","15,930.0","15,760.0","15,930.0","15,490.0","9.00K","1.21%"
"05/10/2022","15,740.0","15,100.0","15,740.0","15,100.0","16.20K","2.67%"
"05/09/2022","15,330.0","15,990.0","16,120.0","15,300.0","18.50K","-5.14%"
"05/06/2022","16,160.0","16,240.0","16,320.0","16,010.0","15.80K","-2.06%"
"05/05/2022","16,500.0","16,430.0","16,500.0","16,160.0","22.90K","1.04%"
"05/04/2022","16,330.0","16,700.0","16,700.0","16,290.0","41.50K","-1.92%"
"04/29/2022","16,650.0","16,330.0","16,650.0","16,330.0","23.90K","2.08%"
"04/28/2022","16,310.0","16,360.0","16,470.0","16,310.0","19.10K","-1.39%"
"04/27/2022","16,540.0","16,420.0","16,540.0","15,950.0","31.20K","0.92%"
"04/26/2022","16,390.0","15,670.0","16,390.0","15,630.0","43.30K","1.86%"
"04/25/2022","16,090.0","17,000.0","17,000.0","15,860.0","50.80K","-5.19%"
"04/22/2022","16,970.0","16,900.0","17,080.0","16,850.0","144.90K","0.41%"
"04/21/2022","16,900.0","16,890.0","17,010.0","16,730.0","38.80K","-0.06%"
"04/20/2022","16,910.0","17,000.0","17,150.0","16,900.0","27.40K","-0.53%"
"04/19/2022","17,000.0","17,380.0","17,410.0","17,000.0","23.20K","-1.96%"
"04/18/2022","17,340.0","17,790.0","17,790.0","17,290.0","27.70K","-1.59%"
"04/15/2022","17,620.0","17,750.0","17,820.0","17,600.0","35.60K","-1.34%"
"04/14/2022","17,860.0","17,950.0","17,950.0","17,700.0","14.40K","-0.50%"
"04/13/2022","17,950.0","17,670.0","17,950.0","17,670.0","7.80K","1.07%"
"04/12/2022","17,760.0","18,000.0","18,000.0","17,620.0","29.80K","-1.33%"
