"Date","Price","Open","High","Low","Vol.","Change %"
"09/27/2023","8,590.0","8,300.0","8,590.0","8,300.0","2.60K","0.00%"
"09/26/2023","8,590.0","8,660.0","8,660.0","8,590.0","1.60K","-0.92%"
"09/25/2023","8,670.0","8,680.0","8,680.0","8,670.0","0.30K","-0.12%"
"09/22/2023","8,680.0","8,660.0","8,880.0","8,650.0","4.00K","-2.69%"
"09/21/2023","8,920.0","8,930.0","9,050.0","8,920.0","4.80K","-0.78%"
"09/20/2023","8,990.0","8,990.0","8,990.0","8,990.0","1.80K","0.00%"
"09/19/2023","8,990.0","8,450.0","9,050.0","8,450.0","17.20K","0.45%"
"09/18/2023","8,950.0","9,000.0","9,150.0","8,950.0","2.70K","-0.56%"
"09/15/2023","9,000.0","9,100.0","9,100.0","9,000.0","2.20K","-1.64%"
"09/14/2023","9,150.0","9,170.0","9,170.0","9,150.0","0.40K","-0.33%"
"09/13/2023","9,180.0","9,180.0","9,180.0","9,180.0","0.40K","1.66%"
"09/12/2023","9,030.0","9,030.0","9,030.0","9,030.0","0.50K","0.00%"
"09/11/2023","9,030.0","9,200.0","9,200.0","9,030.0","5.20K","-1.85%"
"09/08/2023","9,200.0","9,210.0","9,220.0","9,200.0","2.10K","0.00%"
"09/07/2023","9,200.0","9,030.0","9,290.0","9,030.0","2.80K","0.88%"
"09/06/2023","9,120.0","9,030.0","9,120.0","9,030.0","3.50K","1.11%"
"09/05/2023","9,020.0","8,950.0","9,020.0","8,950.0","0.50K","0.78%"
"08/31/2023","8,950.0","8,890.0","8,950.0","8,890.0","5.10K","0.79%"
"08/30/2023","8,880.0","8,810.0","8,880.0","8,810.0","0.30K","0.45%"
"08/29/2023","8,840.0","8,850.0","8,850.0","8,840.0","0.30K","0.80%"
"08/28/2023","8,770.0","8,770.0","8,770.0","8,770.0","0.20K","1.98%"
"08/25/2023","8,600.0","8,700.0","8,700.0","8,600.0","1.10K","-1.15%"
"08/24/2023","8,700.0","8,510.0","8,700.0","8,510.0","0.40K","3.57%"
"08/22/2023","8,400.0","8,500.0","8,500.0","8,350.0","6.00K","-0.94%"
"08/21/2023","8,480.0","8,480.0","8,480.0","8,480.0","0.50K","-1.97%"
"08/18/2023","8,650.0","8,650.0","8,930.0","8,590.0","3.30K","-4.10%"
"08/16/2023","9,020.0","9,020.0","9,020.0","9,020.0","0.10K","0.45%"
"08/15/2023","8,980.0","8,980.0","8,990.0","8,960.0","1.30K","-0.11%"
"08/14/2023","8,990.0","8,870.0","8,990.0","8,870.0","0.90K","1.93%"
"08/11/2023","8,820.0","9,480.0","9,480.0","8,800.0","1.50K","-0.79%"
"08/10/2023","8,890.0","8,960.0","8,960.0","8,890.0","0.80K","-0.56%"
"08/09/2023","8,940.0","8,970.0","8,970.0","8,900.0","1.90K","-0.22%"
"08/08/2023","8,960.0","8,930.0","8,960.0","8,930.0","1.30K","0.34%"
"08/07/2023","8,930.0","8,840.0","8,950.0","8,840.0","1.70K","1.02%"
"08/04/2023","8,840.0","8,720.0","8,840.0","8,720.0","1.70K","1.03%"
"08/03/2023","8,750.0","8,760.0","8,760.0","8,750.0","0.40K","-0.11%"
"08/02/2023","8,760.0","8,710.0","8,790.0","8,710.0","0.60K","-0.11%"
"08/01/2023","8,770.0","8,750.0","8,850.0","8,750.0","7.40K","0.69%"
"07/31/2023","8,710.0","8,760.0","8,760.0","8,710.0","14.90K","0.00%"
"07/28/2023","8,710.0","8,600.0","8,710.0","8,600.0","0.80K","1.28%"
"07/27/2023","8,600.0","8,680.0","8,680.0","8,600.0","2.20K","0.00%"
"07/26/2023","8,600.0","8,620.0","8,660.0","8,600.0","2.90K","-0.23%"
"07/25/2023","8,620.0","8,500.0","8,620.0","8,420.0","1.50K","1.29%"
"07/24/2023","8,510.0","8,520.0","8,540.0","8,490.0","8.10K","0.71%"
"07/21/2023","8,450.0","8,350.0","8,470.0","8,350.0","0.60K","1.32%"
"07/20/2023","8,340.0","8,400.0","8,400.0","8,340.0","1.20K","0.00%"
"07/19/2023","8,340.0","8,430.0","8,430.0","8,340.0","1.90K","-0.95%"
"07/18/2023","8,420.0","8,390.0","8,420.0","8,320.0","3.40K","0.36%"
"07/17/2023","8,390.0","8,390.0","8,390.0","8,390.0","1.60K","0.96%"
"07/14/2023","8,310.0","8,370.0","8,370.0","8,290.0","3.80K","0.00%"
"07/13/2023","8,310.0","8,270.0","8,310.0","8,230.0","3.50K","0.48%"
"07/12/2023","8,270.0","8,250.0","8,270.0","8,230.0","4.40K","0.73%"
"07/11/2023","8,210.0","8,200.0","8,210.0","8,200.0","1.50K","0.24%"
"07/10/2023","8,190.0","8,160.0","8,190.0","8,110.0","0.50K","2.12%"
"07/07/2023","8,020.0","8,010.0","8,060.0","8,000.0","6.30K","0.12%"
"07/06/2023","8,010.0","7,940.0","8,050.0","7,940.0","2.10K","-0.87%"
"07/05/2023","8,080.0","8,060.0","8,080.0","8,060.0","1.60K","0.75%"
"07/04/2023","8,020.0","8,050.0","8,060.0","8,020.0","2.80K","-0.37%"
"07/03/2023","8,050.0","8,070.0","8,070.0","8,030.0","1.50K","0.25%"
"06/30/2023","8,030.0","8,010.0","8,070.0","8,010.0","4.40K","-0.86%"
"06/29/2023","8,100.0","8,160.0","8,160.0","8,100.0","2.70K","-0.25%"
"06/28/2023","8,120.0","8,150.0","8,150.0","8,090.0","4.00K","0.74%"
"06/27/2023","8,060.0","8,440.0","8,440.0","8,050.0","15.10K","1.38%"
"06/26/2023","7,950.0","7,990.0","8,030.0","7,910.0","8.90K","-0.75%"
"06/23/2023","8,010.0","7,980.0","8,020.0","7,980.0","9.30K","0.25%"
"06/22/2023","7,990.0","7,920.0","7,990.0","7,920.0","11.50K","1.65%"
"06/21/2023","7,860.0","7,850.0","7,860.0","7,850.0","7.80K","0.77%"
"06/20/2023","7,800.0","7,800.0","7,800.0","7,770.0","4.20K","0.00%"
"06/19/2023","7,800.0","7,790.0","7,800.0","7,790.0","7.30K","-0.64%"
"06/16/2023","7,850.0","7,870.0","7,920.0","7,850.0","6.80K","0.38%"
"06/15/2023","7,820.0","7,890.0","7,890.0","7,820.0","4.60K","-0.89%"
"06/14/2023","7,890.0","7,900.0","7,900.0","7,880.0","7.00K","0.38%"
"06/13/2023","7,860.0","7,850.0","7,860.0","7,840.0","5.60K","1.03%"
"06/12/2023","7,780.0","7,800.0","7,800.0","7,770.0","5.00K","0.65%"
"06/09/2023","7,730.0","7,700.0","7,740.0","7,700.0","10.00K","-0.39%"
"06/08/2023","7,760.0","7,840.0","7,840.0","7,740.0","18.10K","-0.64%"
"06/07/2023","7,810.0","7,810.0","7,810.0","7,790.0","17.40K","0.51%"
"06/06/2023","7,770.0","7,710.0","7,770.0","7,670.0","13.10K","0.91%"
"06/05/2023","7,700.0","7,700.0","7,700.0","7,640.0","7.10K","1.45%"
"06/02/2023","7,590.0","7,550.0","7,670.0","7,550.0","9.90K","0.80%"
"06/01/2023","7,530.0","7,450.0","7,540.0","7,440.0","12.10K","0.27%"
"05/31/2023","7,510.0","7,540.0","7,540.0","7,450.0","11.90K","0.00%"
"05/30/2023","7,510.0","7,500.0","7,530.0","7,500.0","7.40K","0.94%"
"05/29/2023","7,440.0","7,470.0","7,490.0","7,440.0","5.60K","0.13%"
